key,key_id
transportApiState,1
dbApiState,2
ruleEngineApiState,3
jsExecutionApiState,4
emailApiState,5
smsApiState,6
alarmApiState,7
transportMsgLimit,8
transportDataPointsLimit,9
storageDataPointsLimit,10
ruleEngineExecutionLimit,11
jsExecutionLimit,12
emailLimit,13
smsLimit,14
createdAlarmsLimit,15
ruleEngineExecutionCount,16
ruleEngineExecutionCountHourly,17
temperature,18
humidity,19
totalMsgs,20
successfulMsgs,21
failedMsgs,22
tmpFailed,23
tmpTimeout,24
timeoutMsgs,25
ruleEngineException,26
transportMsgCount,27
transportDataPointsCount,28
jsExecutionCount,29
storageDataPointsCount,30
createdAlarmsCount,31
smsCount,32
emailCount,33
transportMsgCountHourly,34
transportDataPointsCountHourly,35
jsExecutionCountHourly,36
storageDataPointsCountHourly,37
createdAlarmsCountHourly,38
emailCountHourly,39
smsCountHourly,40
target_fw_ts,41
current_fw_title,42
target_fw_title,43
fw_state,44
current_fw_version,45
target_fw_version,46
user_id,47
survey1,48
survey2,49
survey3,50
heart_rate,51
steps,52
sleep_survey,53
state,54
condition,55
condition_score,56
symptom,57
current_sw_version,58
current_sw_title,59
sw_state,60
target_sw_title,61
target_sw_ts,62
target_sw_version,63
Humidity,64
Temperature,65
std_hr,66
abnormal_point,67
